supplier,vehicle,capacity_t,fixed_moscow_rub,rate_rub_km,loading_address,lat,lon
АРС-БЕТОН,Шаланда,20.0,60000.0,200.0,"Смоленская область, Сафоново, 1-й микрорайон, 14Б",55.1063,33.2379
ИП Михайлов,Шаланда,20.0,60000.0,200.0,"Смоленская область, Вяземский район, Степаниковское сельское поселение, Промышленная база ГОКа, квартал 2",55.2038,34.298
Промстрой,Шаланда,40.0,35000.0,320.0,"Московская область, Истринский район, с. Новопетровское, ул. Фабричная, д. 27.",55.9924,36.4718
Промстрой,Манипулятор,20.0,30000.0,275.0,"Московская область, Истринский район, с. Новопетровское, ул. Фабричная, д. 27.",55.9924,36.4718
ТУБЕТОН,Шаланда,40.0,35000.0,275.0,"Московская область, г. Руза",55.7015,36.1965
