Название,Юр лицо,Вид товара,Цена м3,Широта,Долгота,Телефон,Стоимость доставки руб_км_м3
Карьер Боблово,"ООО ""Карьер""","Песок ( Карьерный м.к. Средний 2,0 - 2,5 к.ф. 1-3 м/сут )",430,56.41355,37.00137,(917) 587-87-46,15
Карьер Боблово,"ООО ""Карьер""","Песок ( Сеяный м.к. Средний 2,0 - 2,5 к.ф. 1-3 м/сут )",480,56.41355,37.00137,(917) 587-87-46,15
Карьер Боблово,"ООО ""Карьер""","Песок ( Пескогрунт м.к. Очень мелкий 1,0 - 1,5 к.ф. <1 м/сут )",250,56.41355,37.00137,(917) 587-87-46,15
Карьер Богаевский карьер (ЗГ Строймонтаж),"АО ""БОГАЕВСКИЙ КАРЬЕР""","Песок ( Мытый м.к. Мелкий 1,5 - 2,0 к.ф. >5 м/сут ) (1 класс)",702,55.71391,36.38612,79251312425,15
Карьер Богаевский карьер (ЗГ Строймонтаж),"АО ""БОГАЕВСКИЙ КАРЬЕР""","Песок ( Мытый м.к. Средний 2,0 - 2,5 к.ф. >5 м/сут ) (1 класс)",1023,55.71391,36.38612,79251312425,15
Карьер Богаевский карьер (ЗГ Строймонтаж),"АО ""БОГАЕВСКИЙ КАРЬЕР""","Песок ( Мытый м.к. Средний 2,0 - 2,5 к.ф. >5 м/сут ) (2 класс)",1023,55.71391,36.38612,79251312425,15
Карьер Богаевский карьер (ЗГ Строймонтаж),"АО ""БОГАЕВСКИЙ КАРЬЕР""","Песок ( Мытый м.к. Тонкий 0,7 - 1,0 к.ф. >5 м/сут ) (некондиционный)",396,55.71391,36.38612,79251312425,15
Карьер Брыковы горы (Карьер-Инвест),"ООО ""Карьер- Инвест""","Песок ( Мытый м.к. Средний 2,0 - 2,5 к.ф. 3-5 м/сут )",465,56.44574,38.46433,7 915 760-02-37,15
